<<<<<<< HEAD
160012
18013 11029
63795 75616
39214 62495
35368 32017
37458 40612
70599 77031
31854 7345
66325 1300
26071 27204
26170 73246
30072 51444
10843 24517
24400 79714
20911 8718
22033 69654
59022 48539
12687 23645
57539 46982
25780 50901
3264 64651
61623 57926
36939 60821
41598 37998
35645 59639
7214 10868
41700 39295
24418 14916
34882 1792
17122 75485
68345 28529
12796 63364
79952 27539
62047 29435
22058 13963
62157 66302
64707 69247
57949 8848
7513 456
40759 8572
65860 13359
78543 23651
58996 28481
29804 11523
78290 12110
9188 51273
71721 67219
11213 57231
78504 64609
66403 41206
79210 56696
40694 23471
76176 2081
38186 36060
22815 40814
73026 65979
66099 47146
31545 14330
74415 51489
33094 13522
54487 54302
26975 13139
72784 71389
33967 74055
19520 59358
40914 73606
25898 77442
58732 52297
43699 16181
14402 60052
14013 17228
22269 50946
6590 48247
42148 64024
53895 57731
42015 31246
59656 16814
48449 37014
20448 28462
4032 42151
58907 29532
78206 7666
56052 7938
2193 12798
48857 32126
7624 36154
36713 10877
60388 36991
64127 72175
10850 23634
11850 33373
76363 34584
45684 40886
50106 40602
65310 55603
47511 38946
42320 56706
49921 11476
50878 24245
78669 65887
42784 6851
65807 1512
53424 7836
14842 65465
35442 49979
41883 11528
61139 62567
35634 30682
65890 55103
74371 9089
9223 69988
39385 32085
14803 14255
31939 70034
16184 2963
53130 43968
40473 2601
17272 22809
50028 39845
20947 32154
21753 45632
9498 3187
37778 10559
45839 45238
10939 44591
26674 65862
54962 40653
36481 47833
26776 43813
32983 62778
43064 28140
17106 3539
4951 58061
51894 34849
40432 55887
49362 41492
22046 79581
27979 18660
70166 79101
17466 39477
18797 51077
17487 62936
49121 42077
46158 10720
23508 35603
1631 11857
29269 46802
42940 57356
43734 30939
41705 66159
54753 16891
62501 22493
28700 18365
64101 44314
16304 45619
47878 14695
33748 4390
63405 11709
26134 50507
53557 17107
63118 52029
15477 18092
9152 9203
28497 72658
23863 44614
12844 65989
47504 23674
72201 54444
64956 23050
71021 42929
46894 68142
13132 20702
62475 75811
28781 6856
68588 44977
33128 65040
9974 74855
67829 48092
19285 12522
36172 38310
2008 48086
74704 49981
75545 27610
4528 14703
56277 60553
74724 61972
3263 56657
15603 52730
35132 8966
74993 5551
36800 13190
64608 57802
10448 12578
63664 22738
68035 69326
38530 9877
30811 54900
3910 16094
55928 21790
4457 17842
54905 18648
3913 68308
40737 9453
48392 41950
60132 76706
36708 18694
27888 40709
32547 70876
59657 62056
42846 17632
4011 64898
42949 43706
70451 27625
75085 68490
39726 10227
73028 24627
36542 57615
30039 11699
43757 69351
77063 6819
41432 56548
19793 73083
5781 6875
6748 42960
16276 15750
69511 12625
35381 30382
66583 3687
17044 19090
22426 73862
33593 57582
46737 60079
23868 65695
58695 24994
48707 5608
58654 52958
39907 69845
69674 6924
34948 63289
47959 31699
909 32521
15021 69698
37623 27564
43748 20178
22435 49541
73986 49302
27689 31235
35137 24477
46933 75987
16755 28563
54136 58898
68656 59206
34906 2093
59192 25184
57250 68208
34744 14404
51357 37188
5139 58022
44887 47291
45343 41655
58701 66868
7329 78484
35782 43830
35684 17700
72239 67100
43666 7750
69339 50579
53997 35677
59369 58894
18992 276
21424 70958
11619 2078
52233 61062
79704 20842
15628 55650
5306 70226
15629 60368
48335 62888
49329 73500
20765 24688
39651 76738
44266 56407
53353 28408
5715 46650
21494 40017
68166 27846
2042 42366
14148 15194
27156 33874
71319 70471
49653 6964
79275 77987
62738 77079
56807 70044
54402 6948
34726 42747
52266 17403
65850 9499
14927 5075
23669 53835
22495 69409
34925 79184
68556 75054
12725 40397
67769 7459
59584 2660
31628 72491
4870 59304
51581 72038
36093 45321
56596 24800
16030 31692
41938 65422
26279 24978
76606 20002
4586 53562
27568 34707
39471 78032
66101 19863
28246 57573
65769 16024
47035 39325
12065 46783
61686 6286
43669 52100
78862 66006
16611 26676
21304 12660
19240 30048
2362 13787
78611 48529
65626 42652
31131 56188
17478 11031
6282 49271
49270 36282
25620 10762
31654 56309
34442 8543
33217 66656
43023 47768
78836 73765
21389 50126
75792 60225
72983 61848
33395 65582
49906 54110
26899 79286
46417 63998
11405 3071
18612 2305
58254 49210
29413 54681
21820 72386
30064 43535
63879 5376
79090 55640
79349 13859
36015 60253
7239 8615
45055 73663
55669 37279
6036 17457
13056 20566
5314 64527
29262 70750
36899 28444
62813 76015
11268 73858
17947 65146
76305 20019
42998 56749
39153 30860
12466 78905
2328 51208
40414 75341
18867 78450
60918 62093
49598 4107
66874 58202
51010 13969
30825 8714
75248 72157
60315 11542
20569 69103
67329 43489
41496 71636
46333 70856
47404 35974
54245 18396
79351 31461
45923 75247
64613 38492
64350 77320
68136 5295
48288 21378
39518 4441
55766 54560
73763 35949
46615 10010
76265 13140
19592 57667
58800 11846
54551 10428
49499 64789
62334 55539
45655 61498
34519 27627
56702 7358
69277 25245
50590 22948
39957 269
40913 40039
48198 69560
46359 41460
45269 4246
51976 39238
73446 73427
54528 59763
67147 25142
77378 16461
71878 40614
7491 25381
17561 66319
32858 66731
30143 33693
356 52160
68305 26515
78017 21800
19728 27513
71002 77892
9187 3732
74796 40897
57199 63817
54185 39106
78460 75193
9617 57618
73393 28852
49203 5928
36225 2378
27547 51696
2449 32005
60680 50973
43899 7150
46384 49161
20730 3380
56012 24161
21921 18
34852 66459
50708 19041
59111 69071
32295 62453
67572 36349
1266 45710
70331 72172
59842 31152
45699 19716
78584 206
24379 9979
69423 63627
36444 72559
38316 34257
76579 40735
33615 78133
29275 57688
53007 63984
22825 72804
29971 38203
68014 77108
11254 63953
18825 8893
13669 47039
77753 36634
75217 66250
36529 23160
40569 56550
8451 19763
50075 36888
14899 1260
1356 14865
59847 12032
70721 62873
13524 10766
13767 51115
34300 54371
49124 9972
17057 60259
42831 30662
45747 35870
66199 55445
79473 72990
59882 43767
15932 40446
8480 290
730 44828
73309 47787
19924 43121
10964 47078
40900 52521
58758 581
29656 41660
47889 22375
40856 56484
8684 27134
59452 24175
35450 57001
33745 38064
77201 48094
59843 11598
13170 63678
62698 4218
55807 6087
6670 78688
14870 79798
19153 4369
7366 66517
8984 46909
76755 75334
5558 35816
6172 7849
79596 34395
61371 77211
55992 8102
29194 3620
18523 25804
58012 51080
29050 74773
72221 2803
61560 63773
29466 866
73713 11665
35671 38654
44513 5451
75381 54267
23343 1439
20175 11083
20990 5481
251 72771
74809 30068
23092 13766
49263 2996
28035 72458
57087 22153
40500 66499
52423 45814
66279 49119
19002 61824
67884 17554
29961 27620
28935 66044
15429 45840
42449 69138
23562 13055
77557 1727
33487 6987
64007 5158
53760 12419
1568 27159
47834 71637
70129 24174
28358 32278
72964 75125
45145 32799
31474 58859
55033 5498
884 36036
20679 54614
51258 20207
37146 8239
64867 36288
69366 69421
42607 33368
1739 52651
70807 17324
11109 41651
26325 17837
46706 40968
71751 24377
79609 52734
65798 20738
73122 35115
71520 60856
36292 69729
18877 30573
9822 9419
5527 55089
74023 16356
79782 32395
36234 59883
66768 7924
44186 79444
4897 6480
41528 6723
56721 49522
20536 66118
44507 4603
20582 16906
40142 40181
49809 64988
49575 53470
17638 77304
47838 72068
7405 79239
55536 64138
61657 52265
22540 59180
6974 12198
67888 76633
69086 68151
47244 40482
66871 66211
3249 48889
72538 55925
78642 47177
60097 29092
6958 74365
5258 81
25118 27197
57819 40795
49040 47509
78519 76909
8129 26516
29106 31111
3298 75205
42375 76680
73484 69976
66177 23555
66931 38031
9782 42623
30342 8141
47172 27735
31482 14435
22864 24608
50424 6246
20780 37168
383 12754
29358 53658
19567 2304
9849 23414
2991 33679
6424 75562
18221 29618
2580 11385
27485 53073
6362 38198
76059 10731
3943 75837
44677 22402
67620 5333
9837 9394
56286 79014
48506 25223
29339 70084
61259 63135
55748 37912
47116 43879
15891 14783
7583 55809
29628 22827
5989 9570
9047 12031
43127 79362
49722 61153
34325 12737
44312 3624
14525 40152
72073 44414
25987 28669
29972 44955
14552 8350
73390 8589
76014 18147
41272 20621
50892 32581
29581 63307
32195 6772
24793 58935
29179 62593
71350 44702
6863 72512
2326 51209
31922 33943
79291 33360
79096 43556
9181 42265
18941 69660
50234 45963
75559 41347
56620 51181
28857 61001
65485 29817
49481 15809
79760 46611
4639 51830
30840 12563
7135 55921
7863 19621
27616 47010
48711 21414
38879 73443
26707 79032
59143 25431
34268 42342
61407 45081
23274 38158
36082 49844
70522 73945
7709 55551
76888 71274
14548 17765
14534 78200
72816 7095
63487 8530
6890 51116
68306 27346
61484 1348
46862 50085
7981 14545
53200 4442
68346 36382
14227 8192
8341 5528
17188 6986
4473 30673
21411 55187
4110 48848
69873 47257
37229 18265
51003 51056
55212 19731
74685 3884
60557 49082
62137 20628
13872 76807
19894 26040
17074 62260
27327 59205
57025 16547
79189 4408
27349 21730
3123 2173
75013 5530
15795 70761
61888 68680
65767 77419
11381 26863
14328 63684
14659 6153
22218 69215
2434 40668
67582 31003
29797 19454
25076 63204
52573 1246
7629 45188
17454 39229
17370 17444
10864 36509
52503 7014
20717 1574
40615 7126
4879 40811
60290 9318
62196 36586
27095 69225
7187 40431
64156 18994
29434 52414
76438 72754
17314 24196
71684 23906
12279 70209
72153 36052
31038 6381
65764 4544
22065 28465
54343 15418
45982 7069
42697 20567
19349 56350
14900 51859
28725 16544
28256 12437
14767 23795
15312 51186
77945 68116
73562 5104
23846 42397
68807 69182
52080 74411
73426 19321
42041 20103
28538 16169
72270 47760
78524 69609
79656 73605
55155 29031
12368 58029
45848 3782
70615 5510
22931 3359
54315 74683
41491 16168
19827 19289
25750 33608
24998 43969
73638 40281
13811 67892
68092 64223
57441 77068
17619 43173
47591 42914
47343 56779
35179 69124
49932 261
47418 20827
28999 62948
50616 33282
41669 24274
69902 3830
37091 38103
45601 64471
68114 35210
73774 4234
67350 79767
77487 2232
36119 74317
33256 29574
75655 3643
41277 59224
42638 34031
15771 7484
57807 64348
13558 1944
71450 58860
40871 73358
18746 59936
29639 45870
71270 68178
285 74374
32730 19202
7377 71585
68227 3457
7711 6968
57505 45698
1600 61546
70262 10166
380 23069
1378 72955
11822 73962
2713 56760
944 564
39569 19206
57694 3989
78551 6016
22150 31168
46130 51676
18777 66537
40187 9585
68269 36251
57179 48829
44881 71839
8055 55903
36508 20314
5853 26912
26417 70337
79155 77708
8020 17684
10352 14019
1661 65529
72532 71416
59493 59838
11420 68885
11344 39701
31355 9119
42240 10585
54017 20285
39697 24574
55376 35666
70255 71562
75552 76816
25985 26130
365 42788
11273 65352
56492 67016
39879 77373
46925 47261
56533 10715
36842 24876
67551 55682
23089 68691
53783 18884
15606 52775
13211 53429
42431 14419
55334 22756
9337 17007
15879 27638
45095 48867
30279 71825
20887 3494
32284 22714
76045 26309
71967 57686
65544 60345
7490 77641
65128 42971
60958 64650
22789 60970
3969 55578
74000 40109
75153 7620
27727 42211
47729 57673
18635 598
3422 47640
47520 72918
52894 74132
72599 23338
4569 78215
29453 75420
34706 4293
54298 9103
68336 6347
61126 28229
44905 9359
24620 61008
45741 72332
43229 21694
26044 71770
70106 40889
49705 54108
9682 76273
44049 21230
14758 55217
75697 18948
54234 55355
22608 46655
10887 56047
33568 7125
57566 39859
51300 3950
41436 56411
4815 53531
45170 16550
42399 9243
53249 49424
25069 52561
54964 26424
64383 18539
2333 66139
12420 50193
25916 16570
75179 55567
32484 24466
5290 48334
19681 64079
34551 17724
24083 21801
2388 78514
57490 68141
1014 53052
79085 25325
22945 21851
54580 47947
37046 28392
52951 39868
71475 55591
6186 3198
78875 36982
20134 31656
68321 45455
63080 55488
13784 49031
17962 53785
39209 4658
6822 123
56428 54004
16833 20696
25103 61120
4086 54033
52593 3237
36853 48659
45214 20626
76471 51176
39824 78373
49430 40768
46523 72685
75660 16129
26554 52553
74522 28958
37202 52706
44836 38265
58775 7686
41259 3944
49755 5016
24232 30159
64047 71043
29533 54261
17189 40024
45674 4896
7059 69850
3700 67907
8176 53529
69710 26438
50195 46462
14333 68851
17051 2371
57840 36479
27981 63168
20756 31465
72177 36669
76886 33144
796 77250
39981 35526
1623 51584
20530 23933
67653 62719
32973 25768
10771 65047
69827 55221
54369 39582
36755 66632
6160 20641
28588 78637
62856 44461
490 31578
59520 19502
19676 37552
76947 17218
59317 25563
57952 32746
29673 13540
21251 11972
33950 46852
8498 69208
17135 4961
50396 77246
53482 13788
14600 52726
69044 44540
62226 67896
31788 45842
13799 32098
39902 75049
8101 13725
51580 56693
20147 22276
30867 73431
23641 57983
28102 3622
31014 43850
48831 32725
21770 72220
39887 39220
8744 27399
36658 17840
10389 76319
64966 57157
28170 11630
67523 75270
23024 14457
2541 78501
48129 11023
28090 2528
56860 6459
18052 66065
11116 18675
63512 29161
79295 68267
73734 52878
39266 67827
66355 13223
68930 6490
40727 23775
65392 39939
67683 33090
34228 9514
65210 22835
53248 76065
61204 66257
2962 3320
16409 25730
3704 21005
15872 67502
36426 15530
44859 54010
49576 27006
50386 21922
17683 71445
59667 74162
3383 45051
51323 22053
24682 21073
51794 49144
34921 74416
23727 56862
17954 21398
66171 21386
37874 59687
59913 56091
36791 7524
18107 13038
34140 2126
57194 64297
79102 29572
42238 5507
4801 12014
30616 37006
74063 68538
18057 30046
32014 79023
71200 4742
1511 62043
37608 38131
17288 5907
22852 7473
23432 46780
31886 72252
12252 71590
57902 55057
49683 10717
7293 48494
258 322
19817 24134
48699 43905
18160 61593
2551 42171
55907 44171
52816 22168
67844 64209
63126 69229
76778 28317
79608 56236
56086 68790
37227 32790
78330 31763
52654 18906
3171 17879
38104 33138
78304 70495
55427 5681
79997 8143
54937 73063
14689 11289
38193 59985
30481 21232
61482 49131
11359 3314
22351 37020
79163 59251
17266 65842
70839 68940
26249 68284
56897 28761
16443 54731
16774 66902
45372 53363
35280 57169
62762 592
40455 13529
41723 27404
74071 17934
3608 68876
32900 35801
63095 46640
45613 41041
9798 27739
56178 35854
71961 66096
78532 18145
49280 60542
10969 32892
23799 45617
72739 51522
14474 10158
4080 46110
47558 16007
6929 62597
9789 60160
41707 60223
8331 69516
77005 19050
54508 15377
18038 71148
51360 36388
5882 24423
22676 19252
10636 68197
22466 49250
46083 17764
67425 53312
37965 63481
53574 23528
47034 28290
34437 33148
69436 68263
76012 44440
34838 57637
1746 51158
9074 38797
66132 15056
68555 67209
10019 22389
8478 34901
52707 32399
58680 75043
79821 19081
61026 32267
5513 38562
40404 4296
1104 14218
59074 25555
52342 25788
75529 41619
60831 8937
37261 31784
42536 18944
64991 42507
55562 1883
7896 23303
44330 54932
38440 39335
13089 43031
65511 77318
25719 7850
21202 42119
32442 6502
1183 53784
74812 78656
33773 6626
22868 60885
64147 31586
32150 28644
71031 24283
57842 5100
34708 32750
349 52639
64850 41146
32891 14472
5144 45780
62911 55861
75391 47500
29474 56608
33611 68478
52906 70201
12807 21268
1677 23463
78850 55725
56939 20910
34065 50155
49248 61348
28388 24603
59014 8107
62037 17858
55927 59326
76764 74166
21394 60568
3803 59828
8912 61059
46915 9807
20993 68097
45605 1429
23297 62842
7388 60912
58353 34660
52727 45534
60346 9448
34238 6778
75994 64290
18489 1878
27853 29281
13364 69602
16482 52348
62124 53600
62481 1590
34067 71229
42600 33201
16290 71215
71202 30598
65346 67010
44738 43104
28167 8408
47058 31368
45381 13337
14991 37097
13275 20912
50705 78262
77234 46338
31094 54015
47200 20798
19024 63867
5283 14236
21 79685
36078 7061
35341 60624
76209 24362
48254 62102
9858 51776
71726 49848
7425 58425
17388 75233
21686 75970
15444 50486
6885 3429
34081 75096
5002 13272
77347 50249
17175 12441
19282 75110
28391 27394
65601 44653
3997 21023
20693 74598
38999 21555
76181 1506
52062 75621
72915 49339
58092 45308
16293 60767
67616 64698
23557 22419
9283 74169
5092 18525
886 76734
11545 24684
56556 48684
64589 79005
14597 5373
44812 31722
18550 17349
3836 52009
43708 13588
35781 4581
25899 21434
23824 42704
76677 46796
41803 65954
60691 26794
67800 54197
77352 67552
4084 9495
44267 20573
56069 26590
6109 33383
50873 46123
45019 20814
2741 40813
13485 70728
76686 34585
8069 50588
5444 53258
60934 60347
50434 38903
68759 19263
31382 8717
76313 70317
9242 69193
24323 64281
74027 50334
38498 20029
45147 2923
74481 25482
11217 79169
72029 74778
682 6698
49458 53695
41830 22492
13290 23060
23530 63727
49657 1339
24230 67451
27031 32115
45038 55998
5266 24995
64829 6773
48019 60739
54880 44585
55042 25619
1079 48199
24334 12435
16386 445
58091 18898
59816 56490
33640 11194
63614 44978
21924 74096
39161 68334
50815 67980
36699 19796
18862 78467
23572 66764
2589 41675
33382 71796
70003 40409
43512 12699
23425 6264
68361 47362
46767 74351
77864 28812
17105 62009
1788 1283
27466 22614
58779 70797
69568 6873
49153 7472
66638 34927
2582 78671
11332 39555
20976 43473
12731 28467
31454 22928
59301 25857
75422 14009
57132 8540
71086 37722
60734 13775
47505 3986
41869 22663
37625 49788
49154 61998
14954 6672
26436 12766
39350 23210
925 70186
47967 26349
35177 36709
74553 63978
78806 76564
577 41054
25957 69279
73644 12235
13671 42523
10871 38658
74513 44250
7536 76897
47105 41979
53907 41331
74710 35091
14230 65556
409 43145
44971 77852
61489 18829
16983 65990
48516 69014
46199 20322
24924 50239
57177 24748
36643 35355
22982 798
